text,mood
I am feeling energetic and studying well,Focused
I can concentrate easily today,Focused
Studying with full focus and motivation,Focused
I am fully attentive in class,Focused
Feeling productive and focused,Focused
Understanding concepts clearly,Focused
I am determined to finish my work,Focused
Focused on my study goals,Focused
I am organized and ready,Focused
Paying full attention while learning,Focused
Motivated to complete my tasks,Focused
I am on track with assignments,Focused
Able to concentrate without distractions,Focused
Learning effectively and efficiently,Focused
My study session is going smoothly,Focused
Completely absorbed in study,Focused
I am alert and attentive,Focused
Following study plan carefully,Focused
Focused and determined today,Focused
Feeling mentally sharp,Focused
I am focused and productive,Focused
My concentration is perfect today,Focused
Studying with dedication,Focused
I am attentive and disciplined,Focused
Focused on completing homework,Focused
I feel mentally clear,Focused
I am fully immersed in studies,Focused
Motivation is high for studying,Focused
I am keeping distractions away,Focused
Learning is going smoothly,Focused
I am concentrating deeply,Focused
My mind is fully on studies,Focused
I am determined to succeed,Focused
Feeling organized and structured,Focused
I am studying efficiently,Focused
I am alert and aware,Focused
I can focus without interruption,Focused
I feel confident in learning,Focused
I am mentally prepared,Focused
I am following my study schedule,Focused
Feeling positive and attentive,Focused
Dedicated,Focused
I am deeply engaged in my revision,Focused
My attention is fully on my textbook,Focused
I am studying calmly and clearly,Focused
I can understand topics without effort,Focused
My mind feels stable and focused,Focused
I am learning without stress,Focused
I am disciplined and consistent today,Focused
Everything I read is making sense,Focused
I am studying with clarity and patience,Focused
I feel in control of my study session,Focused
My concentration is steady,Focused
I am studying with confidence,Focused
I am managing my time well,Focused
I feel sharp and attentive,Focused
My focus is uninterrupted,Focused
Sincere,Focused

I feel sleepy while studying,Tired
I am tired and can't focus,Tired
Low energy while reading,Tired
Completely drained from studying,Tired
Exhausted after long study session,Tired
Feeling fatigued and worn out,Tired
Mentally tired and lethargic,Tired
Physically drained from work,Tired
Feeling sleepy and drowsy,Tired
Overworked and exhausted,Tired
My energy levels are low,Tired
I am feeling burnt out,Tired
Too tired to concentrate,Tired
Feeling sleepy-eyed while reading,Tired
Mentally exhausted,Tired
Feeling sleepyhead vibes,Tired
Dog-tired from studying,Tired
Pooped after studying,Tired
Wiped out and drained,Tired
Lethargic and unmotivated,Tired
I feel exhausted today,Tired
Feeling sleepy and drained,Tired
My body feels heavy,Tired
Fatigued and sleepy,Tired
Unable to concentrate due to tiredness,Tired
Exhausted from too much reading,Tired
Feeling completely worn out,Tired
Tired and unfocused,Tired
Sleeping while reading,Tired
Feeling low energy,Tired
Mentally drained,Tired
I feel sleepy and sluggish,Tired
Energy is completely gone,Tired
Fatigued after studying,Tired
Feeling worn out,Tired
I am too tired to study,Tired
Feeling sleepy all day,Tired
Mentally exhausted and sleepy,Tired
I am drained from studying,Tired
Energy levels are very low,Tired
My eyes feel heavy while reading,Tired
I feel like resting instead of studying,Tired
I am struggling to stay awake,Tired
My brain feels slow today,Tired
I feel drained after continuous studying,Tired
I am physically weak and tired,Tired
I feel sleepy even after breaks,Tired
I lack energy to continue studying,Tired
I feel worn out mentally,Tired
I need rest before continuing,Tired
My focus is low due to exhaustion,Tired
I feel tired very quickly,Tired
My energy is fading fast,Tired
I am feeling lazy and exhausted,Tired
My body wants sleep,Tired

Too many assignments stressing me out,Stressed
I feel anxious about exams,Stressed
Deadlines are overwhelming me,Stressed
Feeling panicked and stressed,Stressed
I am nervous for the test,Stressed
Overloaded with study material,Stressed
My mind is anxious,Stressed
Feeling mentally stressed,Stressed
Worried about upcoming deadlines,Stressed
Exam pressure is high,Stressed
Feeling tense and stressed,Stressed
Anxious about performance,Stressed
Feeling overwhelmed by tasks,Stressed
Stressed out with homework,Stressed
Unable to relax due to studies,Stressed
I feel jittery and nervous,Stressed
Pressure from exams is intense,Stressed
My workload is stressful,Stressed
Feeling stressed and worried,Stressed
Overthinking about assignments,Stressed
Feeling nervous and tense,Stressed
Anxious about deadlines,Stressed
Feeling stressed and anxious,Stressed
Overwhelmed by school work,Stressed
I am feeling worried,Stressed
Exam stress is high,Stressed
Feeling mentally overwhelmed,Stressed
I am panicking about exams,Stressed
Assignments are stressing me out,Stressed
Feeling anxious and distracted,Stressed
Worried about grades,Stressed
My mind is overactive,Stressed
Feeling mentally strained,Stressed
Nervous about test results,Stressed
I feel pressured by studies,Stressed
Feeling burdened by school work,Stressed
Mentally stressed and anxious,Stressed
Feeling tense and worried,Stressed
Too much workload makes me stressed,Stressed
I am feeling overwhelmed,Stressed
Fear of exam,Stressed
Depressed,Stressed
I feel pressure to perform well,Stressed
My thoughts are filled with worry,Stressed
I am stressed about my preparation,Stressed
I feel tension while studying,Stressed
My mind feels overloaded,Stressed
I am worried I may not finish on time,Stressed
I feel uneasy while revising,Stressed
My stress level is increasing,Stressed
I feel mentally pressured,Stressed
I am stressed due to time constraints,Stressed
I keep worrying about results,Stressed
I feel nervous before exams,Stressed
My stress is affecting my focus,Stressed
I feel anxious while studying,Stressed
Too much expectation is stressing me,Stressed

I keep checking my phone while studying,Distracted
I am not able to concentrate,Distracted
My mind keeps wandering,Distracted
Unable to focus on my notes,Distracted
Checking social media instead of studying,Distracted
Thinking about other things,Distracted
Mind wandering constantly,Distracted
Getting sidetracked while reading,Distracted
Easily distracted by surroundings,Distracted
Cannot focus on study material,Distracted
Thinking about games instead of study,Distracted
Phone keeps distracting me,Distracted
Daydreaming during study session,Distracted
Losing focus often,Distracted
Not paying attention,Distracted
Drifting off while reading,Distracted
Unable to concentrate properly,Distracted
My focus keeps breaking,Distracted
Distracted by noise and surroundings,Distracted
Mind is all over the place,Distracted
Easily sidetracked,Distracted
Checking phone instead of studying,Distracted
Thoughts keep drifting,Distracted
Unable to keep attention,Distracted
Distractions everywhere,Distracted
Concentration keeps breaking,Distracted
Thoughts not on study,Distracted
Mind keeps switching topics,Distracted
Easily distracted by messages,Distracted
Thinking of unrelated stuff,Distracted
I am mentally elsewhere,Distracted
Lost focus while reading,Distracted
Cannot concentrate on homework,Distracted
Phone notifications distract me,Distracted
Mind wandering all the time,Distracted
Distracted by apps,Distracted
Attention keeps breaking,Distracted
I cannot stay focused,Distracted
Thoughts wandering while studying,Distracted
Distracted and unfocused,Distracted
I keep losing track of what I read,Distracted
My thoughts jump from one thing to another,Distracted
I cannot keep my attention steady,Distracted
I am easily diverted from studying,Distracted
I keep thinking about random things,Distracted
I am unable to stay mentally present,Distracted
My focus shifts frequently,Distracted
I get distracted very easily,Distracted
My mind keeps drifting away,Distracted
I am unable to maintain attention,Distracted
I keep interrupting my study session,Distracted
I struggle to stay focused,Distracted
I feel mentally scattered,Distracted
I keep zoning out,Distracted
I am distracted by small noises,Distracted

